TickSpotters_ID,SpeciesID_Correct,StageID_Correct_Y_or_N,Corrected_Species_ID,Corrected_Sex,Corrected_Stage_ID,Feeding-time_days,TickSpotter_Response_SpeciesID,TickSpotter_Response_StageID,Date_Found,Found_on,Person_Age,Person_Sex,Pet_Type,State_Country,Zip_code
14841,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,5,Blacklegged or Deer tick (Ixodes scapularis),Adult,6/4/15,On a person,,,,Massachusetts,2067
15213,N,N,Lone Star tick (Amblyomma americanum),Nymph,Nymph,1,I don't know,I don't know,6/9/15,On a person,,,,Missouri,64139
15352,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,Nymph,6/10/15,On a person,,,,North Carolina,27278
28118,Y,Y,Lone Star tick (Amblyomma americanum),Nymph,Nymph,4,Lone Star tick (Amblyomma americanum),Nymph,6/14/15,On a person,,,,Maryland,21804
15948,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,6/20/15,On a person,,,,Ohio,45208
16064,Y,Y,Lone Star tick (Amblyomma americanum),Nymph,Nymph,1,Lone Star tick (Amblyomma americanum),Nymph,6/22/15,On a person,,,,Florida,34436
9972,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Male,Adult,0,Western-Blacklegged tick (Ixodes pacificus),Adult,7/17/15,On a person,,,,California,91701
9988,N,N,Not a tick_unknown,Unknown,Unknown,N/A,Blacklegged or Deer tick (Ixodes scapularis),Adult,7/17/15,On a person,,,,California,91701
20994,N,N,Blacklegged or Deer tick (Ixodes scapularis),Larva,Larva,0,I don't know,I don't know,8/28/15,On a pet,,,,Rhode Island,2872
26052,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Nymph,Nymph,3.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,9/28/15,On a person,,,,New York,12901
19013,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),I don't know,11/3/15,On a person,,,,Pennsylvania,17101
11300,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,I don't know,I don't know,11/23/15,On a person,,,,Massachusetts,1757
9776,N,N,Not a tick_unknown,Unknown,Unknown,N/A,Blacklegged or Deer tick (Ixodes scapularis),I don't know,12/28/15,On a person,,,,Missouri,64870
9736,N,N,Unknown,Unknown,Unknown,0,I don't know,I don't know,12/29/15,On a pet,,,,California,95380
9744,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,I don't know,Adult,12/30/15,On a person,,,,California,92399
9759,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Western-Blacklegged tick (Ixodes pacificus),Adult,12/31/15,On a person,,,,California,94019
9735,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3,Blacklegged or Deer tick (Ixodes scapularis),I don't know,1/1/15,On a pet,,,,Maryland,21620
21442,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Western-Blacklegged tick (Ixodes pacificus),Adult,1/2/15,On a person,,,,California,95472
9743,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/2/15,On a person,,,,California,93923
9742,N,N,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,1,I don't know,Nymph,1/2/15,Loose and wandering,,,,Texas,77095
20158,N,N,Spider,Unknown,Unknown,N/A,I don't know,Adult,1/2/15,Loose and wandering,,,,Maryland,21157
20131,N,N,Unknown,Unknown,Unknown,0,I don't know,Adult,1/2/15,Loose and wandering,,,,New Hampshire,3241
9745,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,4,I don't know,Adult,1/3/15,On a pet,,,,New York,12414
9757,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,5,I don't know,Adult,1/3/15,On a pet,,,,Pennsylvania,15136
9749,Y,Y,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,7,Brown Dog tick (Rhipicephalus sanguineus),Adult,1/3/15,Loose and wandering,,,,Arizona,85087
9754,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,7,Blacklegged or Deer tick (Ixodes scapularis),I don't know,1/3/15,Loose and wandering,,,,Massachusetts,2421
9760,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,4,I don't know,I don't know,1/3/15,On a pet,,,,Massachusetts,1908
9747,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3.5,I don't know,Larva,1/3/15,On a person,,,,New York,11580
9756,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3,I don't know,I don't know,1/3/15,On a pet,,,,Maryland,21201
9755,N,N,Blacklegged or Deer tick (Ixodes scapularis),Male,Adult,1,I don't know,I don't know,1/3/15,On a pet,,,,California,94530
9761,N,N,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,5,I don't know,I don't know,1/3/15,On a pet,,,,Colorado,80919
9765,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3.5,Brown Dog tick (Rhipicephalus sanguineus),Adult,1/4/15,On a pet,,,,New Jersey,8034
9764,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,4,I don't know,Adult,1/4/15,On a pet,,,,Illinois,60430
9769,N,Y,Brown Dog tick (Rhipicephalus sanguineus),Male,Adult,1,I don't know,Adult,1/4/15,On a person,,,,Arizona,85132
9772,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3,I don't know,Adult,1/4/15,Loose and wandering,,,,California,95823
9767,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,I don't know,Adult,1/4/15,On a person,,,,California,93940
9766,N,Y,Western-Blacklegged tick (Ixodes pacificus),Male,Adult,0,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/4/15,On a pet,,,,California,95120
14618,N,N,Lone Star tick (Amblyomma americanum),Nymph,Nymph,1,I don't know,I don't know,1/4/15,On a person,,,,Florida,34082
9775,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,7,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/5/15,Loose and wandering,,,,New York,12180
9780,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Western-Blacklegged tick (Ixodes pacificus),Adult,1/5/15,On a pet,,,,California,94552
9778,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,I don't know,Adult,1/5/15,On a pet,,,,California,94070
9781,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,I don't know,I don't know,1/6/15,On a person,,,,California,94904
9786,N,N,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,3.5,I don't know,I don't know,1/8/15,On a pet,,,,Florida,32962
9788,N,N,Unknown,Unknown,Unknown,0,I don't know,Adult,1/8/15,On a pet,,,,Kentucky,42608
9792,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,Blacklegged or Deer tick (Ixodes scapularis),I don't know,1/9/15,On a person,,,,Georgia,30016
9790,N,N,Pseudoscorpion,Unknown,Unknown,N/A,I don't know,Adult,1/9/15,Loose and wandering,,,,Missouri,64085
9803,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,7,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/10/15,Loose and wandering,,,,New Jersey,7090
20195,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,2,I don't know,I don't know,1/10/15,On a person,,,,Florida,32218
9805,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,1/11/15,On a person,,,,California,95461
9811,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1.5,I don't know,Adult,1/12/15,On a person,,,,California,90232
9810,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,2,I don't know,Adult,1/12/15,Loose and wandering,,,,California,93444
9813,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/12/15,On a pet,,,,Oregon,97058
9812,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,5,I don't know,I don't know,1/12/15,On a person,,,,North Carolina,28547
9808,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,I don't know,I don't know,1/12/15,On a person,,,,California,92840
9820,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Male,Adult,1,Western-Blacklegged tick (Ixodes pacificus),Adult,1/14/15,On a pet,,,,California,94605
9821,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,6,American Dog tick (Dermacentor variabilis),Adult,1/14/15,On a pet,,,,California,92027
9819,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/14/15,On a pet,,,,Oregon,97206
9817,N,N,Mite,Unknown,Unknown,N/A,I don't know,Larva,1/14/15,Loose and wandering,,,,Florida,33076
9828,Y,Y,Brown Dog tick (Rhipicephalus sanguineus),Male,Adult,3.5,Brown Dog tick (Rhipicephalus sanguineus),Adult,1/16/15,On a pet,,,,Arizona,85021
9823,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,1/16/15,On a pet,,,,Florida,32309
9831,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,4,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/18/15,On a pet,,,,California,92027
9835,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,1/18/15,Loose and wandering,,,,California,93536
9836,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,I don't know,1/19/15,On a person,,,,Florida,34601
9838,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Male,Adult,2.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/20/15,On a person,,,,Florida,33513
9845,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3.5,I don't know,Adult,1/20/15,On a pet,,,,Georgia,31539
9843,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,7,I don't know,Adult,1/20/15,Loose and wandering,,,,California,94530
9851,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/21/15,On a pet,,,,Alabama,36330
9849,N,N,Lone Star tick (Amblyomma americanum),Nymph,Nymph,3,I don't know,I don't know,1/21/15,On a person,,,,Texas,77074
9854,N,N,Unknown,Unknown,Unknown,0,I don't know,I don't know,1/22/15,On a pet,,,,Florida,33315
9857,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,1/22/15,Loose and wandering,,,,California,96002
9859,N,N,Bed bug,Unknown,Unknown,N/A,I don't know,I don't know,1/23/15,On a person,,,,Connecticut,6461
9883,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,4,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/24/15,On a pet,,,,California,95255
9872,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3,I don't know,Adult,1/25/15,On a pet,,,,Louisiana,70448
9870,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/25/15,On a pet,,,,California,94530
9871,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),I don't know,1/25/15,On a person,,,,Florida,32563
9875,N,N,Bed bug,Unknown,Unknown,N/A,I don't know,I don't know,1/25/15,Loose and wandering,,,,Alabama,36962
9865,N,N,Spider,Unknown,Unknown,N/A,I don't know,I don't know,1/25/15,Loose and wandering,,,,New York,10156
9877,N,N,Unknown,Unknown,Unknown,0,I don't know,Adult,1/25/15,On a person,,,,Mississippi,38753
9882,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,0,Pacific Coast tick (Dermacentor occidentalis),Adult,1/26/15,On a person,,,,Washington,98237
9879,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3.5,I don't know,I don't know,1/26/15,On a pet,,,Livestock,Ohio,45036
9884,Y,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3,Western-Blacklegged tick (Ixodes pacificus),Adult,1/27/15,On a pet,,,,California,94301
9880,N,N,Brown Dog tick (Rhipicephalus sanguineus),Male,Adult,0,I don't know,I don't know,1/27/15,On a person,,,,New York,11229
9888,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/29/15,On a person,,,,California,95125
9887,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,1/29/15,On a pet,,,,Washington,98588
9885,N,N,Pacific Coast tick (Dermacentor occidentalis),Male,Adult,0,I don't know,I don't know,1/29/15,On a person,,,,California,95825
9889,N,N,Unknown,Unknown,Unknown,0,I don't know,Adult,1/29/15,On a pet,,,,Texas,77098
9893,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3.5,I don't know,I don't know,1/30/15,On a pet,,,,South Carolina,29926
9896,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,Nymph,1/31/15,On a person,,,,Alabama,35033
9897,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,Nymph,1/31/15,On a person,,,,Alabama,35033
9898,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,Nymph,1/31/15,On a person,,,,Alabama,35033
9899,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,Nymph,1/31/15,On a person,,,,Alabama,35033
9906,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,I don't know,I don't know,2/1/15,On a person,,,,Louisiana,70508
10029,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,0,Blacklegged or Deer tick (Ixodes scapularis),I don't know,2/1/15,On a person,,,,California,90265
9908,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Male,Adult,0,Blacklegged or Deer tick (Ixodes scapularis),Adult,2/2/15,On a person,,,,Florida,32667
9901,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,I don't know,I don't know,2/2/15,On a person,,,,Florida,32667
9904,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,7,I don't know,I don't know,2/2/15,On a pet,,,,Indiana,46311
9912,N,N,Pacific Coast tick (Dermacentor occidentalis),Male,Adult,0,I don't know,I don't know,2/2/15,On a person,,,,California,94561
9913,N,N,Beetle,Unknown,Unknown,N/A,I don't know,I don't know,2/3/15,Loose and wandering,,,,Michigan,48124
9914,N,N,Beetle,Unknown,Unknown,N/A,I don't know,I don't know,2/3/15,On a person,,,,California,94305
9917,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,2/4/15,Loose and wandering,,,,Arizona,85344
9918,N,N,Weevil,Unknown,Unknown,N/A,I don't know,I don't know,2/5/15,On a person,,,,Florida,33511
9919,Y,N,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,7,Brown Dog tick (Rhipicephalus sanguineus),I don't know,2/6/15,Loose and wandering,,,,New Mexico,87506
9922,N,Y,Lone Star tick (Amblyomma americanum),Male,Adult,0,American Dog tick (Dermacentor variabilis),Adult,2/8/15,On a person,,,,Florida,32025
9925,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),I don't know,2/8/15,On a person,,,,California,95542
9923,N,N,Beetle,Unknown,Unknown,N/A,I don't know,I don't know,2/8/15,Loose and wandering,,,,California,91311
9931,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),I don't know,2/10/15,On a pet,,,,Illinois,62032
9933,N,N,Beetle,Unknown,Unknown,N/A,I don't know,I don't know,2/11/15,On a person,,,,California,94305
9938,N,N,Brown Dog tick (Rhipicephalus sanguineus),Nymph,Nymph,2.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,2/12/15,On a pet,,,,Texas,75023
9940,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,2/13/15,On a pet,,,Dog,Illinois,61802
9942,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,I don't know,Adult,2/14/15,On a person,,,,California,94901
9943,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1.5,I don't know,Adult,2/14/15,On a person,,,,California,95403
9944,Y,Y,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,4,Brown Dog tick (Rhipicephalus sanguineus),Adult,2/15/15,On a person,,,,Texas,78550
9948,Y,Y,Brown Dog tick (Rhipicephalus sanguineus),Male,Adult,0,Brown Dog tick (Rhipicephalus sanguineus),Adult,2/15/15,On a pet,,,,Arizona,85546
9966,N,Y,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,7,I don't know,Adult,2/15/15,Loose and wandering,,,,Washington,98001
9947,N,Y,Rocky Mountain Wood tick (Dermacentor andersoni),Male,Adult,0,I don't know,Adult,2/15/15,On a person,,,,Montana,59859
9949,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,I don't know,I don't know,2/15/15,On a pet,,,,Oregon,97386
9955,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Male,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),I don't know,2/16/15,On a person,,,,Texas,75766
9950,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1.5,I don't know,I don't know,2/16/15,On a person,,,,Louisiana,70403
9962,N,Y,Pacific Coast tick (Dermacentor occidentalis),Female,Adult,1,American Dog tick (Dermacentor variabilis),Adult,2/18/15,On a person,,,,Washington,99016
10113,N,N,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,1,I don't know,I don't know,2/18/15,On a person,,,,Florida,33467
9965,N,Y,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,7,I don't know,Adult,2/19/15,On a pet,,,,California,92688
9969,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,7,I don't know,Adult,2/20/15,On a pet,,,,Tennessee,37207
9982,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,2/21/15,On a person,,,,California,96093
13932,N,N,American Dog tick (Dermacentor variabilis),Female,Adult,2,I don't know,Nymph,2/21/15,On a person,,,,Ohio,43235
9971,N,N,Soft tick,Unknown,Unknown,0,I don't know,I don't know,2/21/15,Loose and wandering,,,,Wyoming,82229
20399,N,N,Unknown,Unknown,Unknown,0,Brown Dog tick (Rhipicephalus sanguineus),Nymph,2/21/15,On a pet,,,,Arizona,85281
20431,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3,I don't know,I don't know,2/23/15,On a pet,,,,Massachusetts,2144
9981,N,N,Brown Dog tick (Rhipicephalus sanguineus),Female,Adult,2.5,I don't know,I don't know,2/23/15,On a pet,,,,Arizona,85027
9980,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,4,I don't know,I don't know,2/23/15,On a pet,,,,Washington,98532
9986,N,N,Not a tick_unknown,Unknown,Unknown,N/A,I don't know,I don't know,2/23/15,On a person,,,,California,91701
9983,N,Y,Rocky Mountain Wood tick (Dermacentor andersoni),Male,Adult,0,I don't know,Adult,2/24/15,On a person,,,,Washington,99203
9990,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,2/25/15,On a person,,,,California,92121
10006,Y,N,Lone Star tick (Amblyomma americanum),Female,Adult,1,Lone Star tick (Amblyomma americanum),I don't know,2/26/15,On a person,,,,Florida,34639
9993,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,2/27/15,On a person,,,,Florida,32034
9995,N,Y,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,3.5,I don't know,Adult,2/27/15,On a pet,,,,California,91505
10848,N,N,Unknown,Unknown,Unknown,0,Lone Star tick (Amblyomma americanum),Nymph,2/27/15,On a person,,,,Florida,32407
